MEMBER_NO,labels
11292,一般客户
20127,重要挽留客户
28677,重要保持客户
55202,重要挽留客户
13545,低价值客户
12694,低价值客户
49856,一般客户
34653,低价值客户
41319,一般客户
42857,低价值客户
54372,一般客户
60008,低价值客户
9376,低价值客户
42093,低价值客户
8900,重要挽留客户
245,一般客户
7514,一般客户
48571,重要发展客户
9717,重要发展客户
25432,低价值客户
54338,低价值客户
42133,低价值客户
10849,低价值客户
2789,重要挽留客户
6003,低价值客户
20842,重要发展客户
52361,一般客户
53017,低价值客户
53451,重要保持客户
27343,一般客户
15507,重要保持客户
3766,重要挽留客户
27849,重要发展客户
4010,低价值客户
16267,低价值客户
8,重要发展客户
52501,低价值客户
47449,重要挽留客户
48494,低价值客户
16199,一般客户
24146,重要发展客户
1145,一般客户
43478,低价值客户
2783,重要挽留客户
25966,一般客户
6093,一般客户
45828,重要挽留客户
10812,低价值客户
59143,重要保持客户
32012,低价值客户
59840,低价值客户
18248,重要保持客户
36036,低价值客户
4904,低价值客户
10850,一般客户
49761,低价值客户
51824,重要发展客户
62154,低价值客户
46202,重要挽留客户
13904,低价值客户
44787,重要发展客户
22688,重要保持客户
43278,一般客户
25179,一般客户
21940,低价值客户
56479,重要挽留客户
28684,低价值客户
27073,一般客户
57795,重要挽留客户
13298,重要挽留客户
40578,重要保持客户
20459,重要挽留客户
20215,重要挽留客户
28080,重要挽留客户
9800,重要发展客户
7931,低价值客户
2019,重要挽留客户
18161,低价值客户
28219,重要挽留客户
40979,低价值客户
18566,重要发展客户
26721,重要挽留客户
5310,一般客户
29666,一般客户
12952,一般客户
11301,重要挽留客户
785,重要挽留客户
37409,一般客户
27759,重要挽留客户
33142,低价值客户
41012,一般客户
2492,一般客户
131,低价值客户
29232,重要挽留客户
18494,低价值客户
48754,重要挽留客户
20423,重要挽留客户
27968,重要挽留客户
5341,一般客户
42690,重要发展客户
28248,重要发展客户
37038,重要挽留客户
16751,一般客户
47916,一般客户
43245,低价值客户
23841,重要发展客户
15127,低价值客户
13679,一般客户
47391,重要挽留客户
15807,低价值客户
26959,一般客户
22921,重要发展客户
27366,低价值客户
4669,低价值客户
22759,重要保持客户
12243,重要挽留客户
58816,低价值客户
18346,一般客户
60034,低价值客户
42610,重要发展客户
40885,低价值客户
26559,重要挽留客户
30767,重要挽留客户
36767,重要挽留客户
44482,低价值客户
16916,一般客户
42692,低价值客户
24568,低价值客户
7551,重要挽留客户
11462,重要挽留客户
36552,重要挽留客户
39937,一般客户
42992,低价值客户
50418,重要发展客户
56955,重要挽留客户
60586,低价值客户
27519,低价值客户
37686,低价值客户
42388,低价值客户
3258,低价值客户
40292,低价值客户
13206,重要挽留客户
19489,低价值客户
13544,低价值客户
25330,重要发展客户
26933,重要挽留客户
28273,重要挽留客户
4616,低价值客户
20018,低价值客户
43295,低价值客户
12312,重要发展客户
43447,低价值客户
50816,重要发展客户
27378,低价值客户
59750,低价值客户
47070,重要挽留客户
21904,重要挽留客户
58958,低价值客户
36314,低价值客户
7895,一般客户
59707,低价值客户
4528,低价值客户
40822,低价值客户
56128,重要挽留客户
12812,一般客户
55923,低价值客户
3399,重要发展客户
33298,低价值客户
10360,低价值客户
10489,重要保持客户
52181,重要发展客户
57417,重要挽留客户
30133,一般客户
388,一般客户
29000,低价值客户
18859,重要挽留客户
34357,低价值客户
10573,低价值客户
20560,重要挽留客户
46409,重要发展客户
5313,低价值客户
40059,低价值客户
31737,低价值客户
51973,一般客户
52032,低价值客户
18692,重要挽留客户
13869,重要保持客户
35046,一般客户
35136,低价值客户
10891,低价值客户
42320,一般客户
53757,重要挽留客户
51045,低价值客户
24679,低价值客户
47532,重要挽留客户
40475,一般客户
10668,一般客户
24435,一般客户
37577,一般客户
41525,低价值客户
49632,重要保持客户
45588,重要挽留客户
48037,重要挽留客户
30481,重要挽留客户
47355,重要挽留客户
42904,一般客户
47742,重要挽留客户
37544,低价值客户
44800,重要挽留客户
8061,重要挽留客户
40671,低价值客户
1653,一般客户
24511,一般客户
44763,一般客户
29647,重要挽留客户
38500,重要发展客户
43185,低价值客户
32504,低价值客户
53117,重要发展客户
36501,低价值客户
10823,低价值客户
45173,低价值客户
17699,重要发展客户
19843,低价值客户
15813,低价值客户
29771,重要挽留客户
34921,低价值客户
37456,重要发展客户
27620,重要挽留客户
21252,重要挽留客户
49671,重要保持客户
34592,低价值客户
60224,一般客户
21839,重要挽留客户
12098,重要挽留客户
55568,一般客户
13984,低价值客户
1745,低价值客户
58664,低价值客户
59050,一般客户
33928,低价值客户
54432,低价值客户
57731,重要挽留客户
37364,低价值客户
23439,一般客户
57688,重要挽留客户
25380,一般客户
36539,重要挽留客户
53263,重要发展客户
16214,低价值客户
12805,低价值客户
14411,低价值客户
57023,重要挽留客户
3907,重要挽留客户
16160,一般客户
16315,低价值客户
48927,重要挽留客户
29452,一般客户
55130,重要保持客户
52431,低价值客户
3435,重要保持客户
44985,重要挽留客户
4634,低价值客户
19512,重要挽留客户
45831,重要保持客户
28930,低价值客户
4033,重要挽留客户
40298,低价值客户
34288,低价值客户
29414,重要挽留客户
11656,重要发展客户
20997,重要发展客户
6148,低价值客户
24182,重要发展客户
54668,重要挽留客户
48164,重要挽留客户
45112,低价值客户
43172,低价值客户
17021,低价值客户
24226,低价值客户
30252,低价值客户
28396,一般客户
26570,重要挽留客户
1636,低价值客户
43089,一般客户
13917,低价值客户
1173,重要挽留客户
38080,重要挽留客户
44076,重要发展客户
6317,低价值客户
27845,重要挽留客户
19759,一般客户
1438,一般客户
2855,重要挽留客户
58166,低价值客户
5640,低价值客户
8567,重要挽留客户
46244,重要挽留客户
53951,重要保持客户
10433,重要发展客户
24181,低价值客户
23624,低价值客户
21465,重要挽留客户
61790,重要发展客户
60626,低价值客户
3842,一般客户
47389,重要挽留客户
62433,一般客户
407,低价值客户
9782,重要挽留客户
3795,重要挽留客户
33847,低价值客户
56763,重要挽留客户
14287,低价值客户
19269,重要发展客户
56202,重要保持客户
46224,重要挽留客户
1392,低价值客户
44403,低价值客户
36149,低价值客户
41236,一般客户
51565,重要保持客户
61733,重要发展客户
9815,重要保持客户
5971,一般客户
25922,低价值客户
57670,重要挽留客户
31369,重要发展客户
31378,低价值客户
25295,重要发展客户
24175,重要发展客户
27663,重要挽留客户
56488,重要挽留客户
25430,低价值客户
17945,重要挽留客户
45555,低价值客户
40343,一般客户
1268,重要发展客户
14993,重要保持客户
58427,一般客户
30179,重要挽留客户
37646,低价值客户
6089,低价值客户
58129,低价值客户
41678,低价值客户
49430,低价值客户
38755,一般客户
37491,低价值客户
1165,重要挽留客户
8564,重要挽留客户
970,重要挽留客户
56218,重要挽留客户
51141,低价值客户
26772,重要挽留客户
31732,低价值客户
52586,低价值客户
11512,一般客户
30680,低价值客户
56127,重要挽留客户
37170,重要挽留客户
6230,低价值客户
62099,重要发展客户
27955,一般客户
60290,一般客户
3307,重要挽留客户
35618,重要保持客户
45594,重要挽留客户
57765,一般客户
43347,一般客户
9842,重要挽留客户
42273,重要发展客户
35623,重要挽留客户
2818,重要挽留客户
42065,一般客户
25498,一般客户
61337,重要发展客户
34584,低价值客户
45097,一般客户
56398,一般客户
17933,重要挽留客户
20876,重要保持客户
47640,重要挽留客户
8188,低价值客户
30495,低价值客户
53471,低价值客户
4855,低价值客户
22396,重要发展客户
28982,低价值客户
42042,低价值客户
57802,一般客户
16463,低价值客户
5195,一般客户
23440,低价值客户
37889,低价值客户
54850,重要挽留客户
21323,低价值客户
49002,重要发展客户
24021,低价值客户
18524,低价值客户
60673,重要发展客户
16208,低价值客户
48732,重要挽留客户
48025,重要保持客户
12276,一般客户
44335,重要发展客户
32091,低价值客户
4657,低价值客户
14833,重要发展客户
43144,低价值客户
19170,重要挽留客户
56797,重要挽留客户
15185,重要保持客户
4502,低价值客户
1871,低价值客户
39710,重要挽留客户
11405,重要挽留客户
31545,一般客户
20499,重要挽留客户
37131,一般客户
8467,重要挽留客户
26063,一般客户
54525,低价值客户
42647,一般客户
12091,重要挽留客户
29602,重要挽留客户
4256,重要保持客户
52105,一般客户
54729,一般客户
30143,重要挽留客户
4214,一般客户
14432,低价值客户
14008,低价值客户
42305,一般客户
24563,低价值客户
47990,低价值客户
16170,低价值客户
27688,重要保持客户
15783,重要发展客户
60165,重要保持客户
54647,一般客户
57758,重要保持客户
37330,重要保持客户
16912,一般客户
996,重要保持客户
19730,一般客户
58657,低价值客户
26673,重要发展客户
29718,一般客户
18482,低价值客户
2168,重要保持客户
6637,重要发展客户
42636,低价值客户
17524,低价值客户
40084,低价值客户
27123,一般客户
32407,一般客户
26805,重要挽留客户
56151,重要挽留客户
12708,一般客户
28534,低价值客户
15656,一般客户
22974,一般客户
13713,一般客户
44700,重要挽留客户
48922,重要保持客户
1293,重要发展客户
17022,低价值客户
46523,重要保持客户
17980,一般客户
13275,低价值客户
62862,重要挽留客户
24586,重要保持客户
4642,重要发展客户
41574,重要发展客户
17659,重要挽留客户
21972,低价值客户
23724,低价值客户
32994,低价值客户
13516,低价值客户
39701,重要挽留客户
50281,重要发展客户
25668,低价值客户
36123,低价值客户
56681,重要挽留客户
45303,重要发展客户
30249,重要挽留客户
1604,一般客户
1003,重要挽留客户
52321,低价值客户
21611,重要挽留客户
9410,低价值客户
44081,低价值客户
48,低价值客户
1913,低价值客户
48163,重要挽留客户
56759,重要挽留客户
62729,重要挽留客户
60140,低价值客户
56784,重要挽留客户
13303,重要发展客户
24223,低价值客户
57803,一般客户
10470,一般客户
33746,低价值客户
28936,低价值客户
14009,重要发展客户
20079,低价值客户
3572,一般客户
29443,一般客户
39312,重要挽留客户
34907,一般客户
60917,低价值客户
13912,低价值客户
9324,低价值客户
27740,重要挽留客户
60272,低价值客户
31865,低价值客户
